symptoms,disease
I have itching and skin rash and nodal skin eruptions and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have skin rash and nodal skin eruptions and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have itching and nodal skin eruptions and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have itching and skin rash and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have itching and skin rash and nodal skin eruptions. What could it be?,This could be a sign of Fungal infection.
I have skin rash and nodal skin eruptions and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have itching and nodal skin eruptions and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have itching and skin rash and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have itching and skin rash and nodal skin eruptions. What could it be?,This could be a sign of Fungal infection.
I have itching and skin rash and nodal skin eruptions and dischromic  patches. What could it be?,This could be a sign of Fungal infection.
I have continuous sneezing and shivering and chills and watering from eyes. What could it be?,This could be a sign of Allergy.
I have shivering and chills and watering from eyes. What could it be?,This could be a sign of Allergy.
I have continuous sneezing and chills and watering from eyes. What could it be?,This could be a sign of Allergy.
I have continuous sneezing and shivering and watering from eyes. What could it be?,This could be a sign of Allergy.
I have continuous sneezing and shivering and chills. What could it be?,This could be a sign of Allergy.
I have shivering and chills and watering from eyes. What could it be?,This could be a sign of Allergy.
I have continuous sneezing and chills and watering from eyes. What could it be?,This could be a sign of Allergy.
I have continuous sneezing and shivering and watering from eyes. What could it be?,This could be a sign of Allergy.
I have continuous sneezing and shivering and chills. What could it be?,This could be a sign of Allergy.
I have continuous sneezing and shivering and chills and watering from eyes. What could it be?,This could be a sign of Allergy.
I have stomach pain and acidity and ulcers on tongue and vomiting and cough and chest pain. What could it be?,This could be a sign of GERD.
I have stomach pain and ulcers on tongue and vomiting and cough and chest pain. What could it be?,This could be a sign of GERD.
I have stomach pain and acidity and vomiting and cough and chest pain. What could it be?,This could be a sign of GERD.
I have stomach pain and acidity and ulcers on tongue and cough and chest pain. What could it be?,This could be a sign of GERD.
I have stomach pain and acidity and ulcers on tongue and vomiting and chest pain. What could it be?,This could be a sign of GERD.
I have stomach pain and acidity and ulcers on tongue and vomiting and cough. What could it be?,This could be a sign of GERD.
I have acidity and ulcers on tongue and vomiting and cough and chest pain. What could it be?,This could be a sign of GERD.
I have stomach pain and ulcers on tongue and vomiting and cough and chest pain. What could it be?,This could be a sign of GERD.
